순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,30,23.8
2,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,30,12.3
3,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,30,10.6
4,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,30,9.3
5,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,30,8.9
6,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,30,7.2
7,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,30,7.2
8,ac50c8b01e74f605a64ac86543f58c2a,헌릉과인릉,관광명소,30,7.0
9,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,30,7.0
10,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,30,6.7
